geoid,name,state,county,county_name,tract,population_acs5_2020,population_moe_acs5_2020,median_household_income_acs5_2020,median_household_income_moe_acs5_2020,incidents_2020,eligible_for_income_analysis,incidents_per_100k_2020
36005020000,"Census Tract 0200.00, Bronx County, New York",36,5,Bronx,20000,4750,604,40847,6981,0,True,0.0
36005020100,"Census Tract 0201.00, Bronx County, New York",36,5,Bronx,20100,3887,657,42464,4287,1,True,25.72678157962439
36005020200,"Census Tract 0202.00, Bronx County, New York",36,5,Bronx,20200,2387,355,41393,9859,0,True,0.0
36005020400,"Census Tract 0204.00, Bronx County, New York",36,5,Bronx,20400,3279,621,60278,17612,0,True,0.0
36005020501,"Census Tract 0205.01, Bronx County, New York",36,5,Bronx,20501,6910,1180,20101,6127,4,True,57.88712011577424
36005020502,"Census Tract 0205.02, Bronx County, New York",36,5,Bronx,20502,2285,393,21683,9977,0,True,0.0
36005020601,"Census Tract 0206.01, Bronx County, New York",36,5,Bronx,20601,2469,612,48654,18731,1,True,40.50222762251924
36005020900,"Census Tract 0209.00, Bronx County, New York",36,5,Bronx,20900,4466,702,39741,12045,2,True,44.782803403493055
36005021001,"Census Tract 0210.01, Bronx County, New York",36,5,Bronx,21001,8489,961,57222,12051,0,True,0.0
36005021002,"Census Tract 0210.02, Bronx County, New York",36,5,Bronx,21002,7958,1472,59977,9184,0,True,0.0
36005021100,"Census Tract 0211.00, Bronx County, New York",36,5,Bronx,21100,5642,997,31929,3682,1,True,17.72421127259837
36005021200,"Census Tract 0212.00, Bronx County, New York",36,5,Bronx,21200,4931,736,66442,16210,0,True,0.0
36005021301,"Census Tract 0213.01, Bronx County, New York",36,5,Bronx,21301,1175,351,32361,29879,1,True,85.1063829787234
36005021302,"Census Tract 0213.02, Bronx County, New York",36,5,Bronx,21302,5369,875,19155,10733,0,True,0.0
36005021501,"Census Tract 0215.01, Bronx County, New York",36,5,Bronx,21501,4478,904,39875,15698,1,True,22.331397945511387
36005021502,"Census Tract 0215.02, Bronx County, New York",36,5,Bronx,21502,6397,1033,30125,12221,0,True,0.0
36005021601,"Census Tract 0216.01, Bronx County, New York",36,5,Bronx,21601,4436,552,36163,9711,1,True,22.54283137962128
36005021602,"Census Tract 0216.02, Bronx County, New York",36,5,Bronx,21602,5880,921,56905,6528,0,True,0.0
36005021700,"Census Tract 0217.00, Bronx County, New York",36,5,Bronx,21700,5233,716,40778,7073,1,True,19.10949742021785
36005021800,"Census Tract 0218.00, Bronx County, New York",36,5,Bronx,21800,6010,1184,47581,11062,2,True,33.277870216306155
36005021900,"Census Tract 0219.00, Bronx County, New York",36,5,Bronx,21900,857,196,27569,20458,2,True,233.3722287047841
36005022000,"Census Tract 0220.00, Bronx County, New York",36,5,Bronx,22000,1985,382,35250,16973,1,True,50.377833753148614
36005022101,"Census Tract 0221.01, Bronx County, New York",36,5,Bronx,22101,3908,754,41128,8530,1,True,25.588536335721596
36005022102,"Census Tract 0221.02, Bronx County, New York",36,5,Bronx,22102,5433,865,34659,9572,1,True,18.406037180195103
36005022200,"Census Tract 0222.00, Bronx County, New York",36,5,Bronx,22200,3064,482,53869,8414,0,True,0.0
36005022300,"Census Tract 0223.00, Bronx County, New York",36,5,Bronx,22300,5168,879,27232,9730,1,True,19.34984520123839
36005022401,"Census Tract 0224.01, Bronx County, New York",36,5,Bronx,22401,2470,389,48984,13002,0,True,0.0
36005022403,"Census Tract 0224.03, Bronx County, New York",36,5,Bronx,22403,2920,408,53015,18219,1,True,34.24657534246575
36005022404,"Census Tract 0224.04, Bronx County, New York",36,5,Bronx,22404,4384,660,58690,9779,0,True,0.0
36005022500,"Census Tract 0225.00, Bronx County, New York",36,5,Bronx,22500,8937,1750,48152,6687,3,True,33.56831151393085
36005022701,"Census Tract 0227.01, Bronx County, New York",36,5,Bronx,22701,4748,677,24939,16168,4,True,84.24599831508003
36005022702,"Census Tract 0227.02, Bronx County, New York",36,5,Bronx,22702,1494,181,26633,15918,2,True,133.86880856760374
36005022703,"Census Tract 0227.03, Bronx County, New York",36,5,Bronx,22703,1858,627,66683,15892,1,True,53.821313240043054
36005022800,"Census Tract 0228.00, Bronx County, New York",36,5,Bronx,22800,6238,921,59819,7959,1,True,16.03077909586406
36005022901,"Census Tract 0229.01, Bronx County, New York",36,5,Bronx,22901,5196,759,35542,15760,0,True,0.0
36005022902,"Census Tract 0229.02, Bronx County, New York",36,5,Bronx,22902,3416,711,39630,22670,1,True,29.27400468384075
36005023000,"Census Tract 0230.00, Bronx County, New York",36,5,Bronx,23000,2821,485,47661,5820,0,True,0.0
36005023100,"Census Tract 0231.00, Bronx County, New York",36,5,Bronx,23100,1569,301,41635,11192,1,True,63.73486297004461
36005023200,"Census Tract 0232.00, Bronx County, New York",36,5,Bronx,23200,2382,369,51509,8121,0,True,0.0
36005023301,"Census Tract 0233.01, Bronx County, New York",36,5,Bronx,23301,3855,581,31446,15993,1,True,25.940337224383917
36005023302,"Census Tract 0233.02, Bronx County, New York",36,5,Bronx,23302,3581,642,40852,9533,1,True,27.925160569673274
36005023501,"Census Tract 0235.01, Bronx County, New York",36,5,Bronx,23501,3222,647,30381,10968,1,True,31.036623215394165
36005023502,"Census Tract 0235.02, Bronx County, New York",36,5,Bronx,23502,4346,860,38804,9677,1,True,23.00966405890474
36005023600,"Census Tract 0236.00, Bronx County, New York",36,5,Bronx,23600,1609,357,41667,27547,0,True,0.0
36005023702,"Census Tract 0237.02, Bronx County, New York",36,5,Bronx,23702,1395,536,46346,22330,0,True,0.0
36005023703,"Census Tract 0237.03, Bronx County, New York",36,5,Bronx,23703,5662,851,24732,9732,0,True,0.0
36005023704,"Census Tract 0237.04, Bronx County, New York",36,5,Bronx,23704,3838,601,24833,14060,3,True,78.1657113079729
36005023800,"Census Tract 0238.00, Bronx County, New York",36,5,Bronx,23800,2281,329,60543,11905,0,True,0.0
36005023900,"Census Tract 0239.00, Bronx County, New York",36,5,Bronx,23900,7947,1802,40334,7136,5,True,62.91682395872657
36005024000,"Census Tract 0240.00, Bronx County, New York",36,5,Bronx,24000,3932,649,46633,22816,0,True,0.0
36005024100,"Census Tract 0241.00, Bronx County, New York",36,5,Bronx,24100,6546,864,35658,9436,3,True,45.82951420714941
36005024300,"Census Tract 0243.00, Bronx County, New York",36,5,Bronx,24300,5467,750,27245,8353,0,True,0.0
36005024400,"Census Tract 0244.00, Bronx County, New York",36,5,Bronx,24400,2015,247,55938,9729,0,True,0.0
36005024501,"Census Tract 0245.01, Bronx County, New York",36,5,Bronx,24501,4804,747,26313,11858,2,True,41.631973355537056
36005024502,"Census Tract 0245.02, Bronx County, New York",36,5,Bronx,24502,3632,697,30938,12863,1,True,27.533039647577095
36005024600,"Census Tract 0246.00, Bronx County, New York",36,5,Bronx,24600,2095,319,70956,11586,0,True,0.0
